crop,N,P,K,ph,recommended_fertilizer,quantity_kg_per_acre,estimated_cost_inr,organic_alternative
apple,54.8,31.5,51.0,5.68,DAP,78.8,2127.6,Farmyard Manure (FYM)
coffee,23.1,37.3,76.8,5.52,Urea,97.8,635.7,Farmyard Manure (FYM)
pomegranate,70.1,32.4,30.9,5.87,MOP,77.1,1310.7,Farmyard Manure (FYM)
papaya,50.5,76.7,66.9,7.18,Urea,55.8,362.7,Farmyard Manure (FYM)
grapes,102.9,52.6,0.0,5.72,MOP,98.2,1669.4,Compost + Biofertilizer
maize,9.7,29.3,35.5,6.14,Urea,131.5,854.75,Vermicompost
kidneybeans,35.3,68.1,77.5,6.07,Urea,61.1,397.15,Compost + Biofertilizer
lentil,111.3,46.0,49.9,6.86,DAP,39.0,1053.0,Vermicompost
maize,62.0,65.8,8.3,6.57,MOP,79.2,1346.4,Farmyard Manure (FYM)
apple,34.2,73.7,59.0,7.75,Urea,66.0,429.0,Compost + Biofertilizer
cotton,51.6,31.5,46.3,6.53,DAP,84.0,2268.0,Compost + Biofertilizer
pigeonpeas,44.0,71.6,58.9,6.11,Urea,52.7,342.55,Neem Cake
mango,62.6,8.2,40.7,7.67,DAP,92.6,2500.2,Compost + Biofertilizer
papaya,53.0,34.9,17.8,8.29,MOP,106.1,1803.7,Vermicompost
mothbeans,80.0,46.3,49.1,6.55,DAP,42.0,1134.0,Green Manure
pomegranate,92.7,78.2,37.7,7.01,MOP,50.6,860.2,Green Manure
jute,81.5,42.0,48.8,6.93,DAP,62.3,1682.1,Vermicompost
banana,40.3,42.7,24.1,7.0,Urea,104.5,679.25,Poultry Manure
muskmelon,78.7,32.8,25.2,6.59,MOP,72.5,1232.5,Neem Cake
orange,39.1,88.3,40.3,5.9,Urea,78.5,510.25,Compost + Biofertilizer
coffee,74.4,18.6,46.2,6.41,DAP,77.8,2100.6,Compost + Biofertilizer
mothbeans,24.4,44.0,53.5,7.16,Urea,89.6,582.4,Neem Cake
mango,49.8,51.8,40.8,6.99,Urea,73.6,478.4,Compost + Biofertilizer
orange,27.3,93.9,65.0,6.15,Urea,67.2,436.8,Vermicompost
mungbean,29.9,82.9,29.0,7.17,Urea,99.9,649.35,Farmyard Manure (FYM)
apple,60.1,36.0,29.2,5.8,MOP,97.4,1655.8,Poultry Manure
mango,61.7,68.3,40.5,6.67,MOP,43.1,732.7,Farmyard Manure (FYM)
coconut,67.0,22.6,60.8,7.0,DAP,57.3,1547.1,Compost + Biofertilizer
mungbean,52.5,46.6,63.9,6.21,Urea,57.0,370.5,Neem Cake
kidneybeans,61.3,67.2,59.2,7.2,Urea,42.1,273.65,Poultry Manure
pomegranate,60.5,47.4,12.0,6.99,MOP,95.7,1626.9,Farmyard Manure (FYM)
banana,30.3,35.6,64.6,6.98,Urea,85.7,557.05,Poultry Manure
cotton,61.0,4.5,38.5,7.15,DAP,105.4,2845.8,Neem Cake
mothbeans,56.6,41.1,52.2,5.71,Urea,63.3,411.45,Green Manure
papaya,95.9,85.6,75.2,5.27,NPK 19-19-19,23.5,564.0,Green Manure
kidneybeans,49.0,76.3,39.2,6.01,Urea,66.2,430.3,Vermicompost
orange,31.5,71.7,32.6,6.53,Urea,90.5,588.25,Green Manure
chickpea,56.7,41.7,1.3,7.05,MOP,105.6,1795.2,Farmyard Manure (FYM)
rice,54.9,69.2,58.1,5.65,Urea,38.3,248.95,Compost + Biofertilizer
blackgram,1.1,25.6,36.3,5.27,Urea,140.9,915.85,Compost + Biofertilizer
lentil,77.1,58.2,60.8,6.61,NPK 10-26-26,22.6,519.8,Farmyard Manure (FYM)
kidneybeans,57.3,38.6,15.3,6.39,MOP,99.4,1689.8,Neem Cake
chickpea,109.3,23.1,75.1,6.8,DAP,54.3,1466.1,Vermicompost
watermelon,124.9,55.8,60.5,6.46,NPK 10-26-26,22.9,526.7,Farmyard Manure (FYM)
lentil,53.1,64.3,54.1,6.43,Urea,54.1,351.65,Vermicompost
rice,89.9,33.8,84.7,7.36,DAP,41.9,1131.3,Farmyard Manure (FYM)
muskmelon,109.6,34.5,39.7,6.61,DAP,54.6,1474.2,Green Manure
cotton,36.1,49.5,39.2,6.71,Urea,90.8,590.2,Compost + Biofertilizer
cotton,95.0,43.5,96.3,6.99,DAP,35.1,947.7,Poultry Manure
chickpea,79.9,11.2,34.2,6.6,DAP,89.5,2416.5,Farmyard Manure (FYM)
kidneybeans,61.1,33.1,28.9,5.39,MOP,95.3,1620.1,Vermicompost
mungbean,57.8,52.3,45.1,6.19,Urea,59.0,383.5,Poultry Manure
chickpea,84.1,55.2,71.8,6.52,NPK 10-26-26,31.9,733.7,Poultry Manure
muskmelon,35.8,59.6,16.7,5.61,Urea,102.1,663.65,Vermicompost
jute,45.5,47.1,72.9,7.08,Urea,63.3,411.45,Poultry Manure
coconut,58.0,65.7,40.3,6.28,Urea,61.8,401.7,Green Manure
mango,61.0,45.9,44.1,6.12,Urea,59.9,389.35,Farmyard Manure (FYM)
coffee,50.9,66.0,24.7,6.83,MOP,74.7,1269.9,Neem Cake
mango,69.9,30.9,45.5,5.82,DAP,74.6,2014.2,Farmyard Manure (FYM)
coffee,60.6,94.6,31.3,5.99,MOP,63.4,1077.8,Neem Cake
lentil,35.7,57.2,46.3,5.75,Urea,75.8,492.7,Compost + Biofertilizer
chickpea,59.5,67.8,56.5,6.64,Urea,42.9,278.85,Vermicompost
watermelon,55.3,24.1,73.5,6.47,DAP,75.7,2043.9,Vermicompost
chickpea,58.6,80.4,62.2,6.29,Urea,43.7,284.05,Vermicompost
apple,77.2,38.1,29.9,7.5,MOP,77.0,1309.0,Vermicompost
papaya,91.4,29.4,34.1,5.39,DAP,65.2,1760.4,Farmyard Manure (FYM)
watermelon,75.7,61.8,49.0,7.17,MOP,30.5,518.5,Compost + Biofertilizer
pomegranate,77.0,72.1,11.1,6.2,MOP,64.0,1088.0,Vermicompost
jute,103.5,35.0,53.0,7.65,DAP,50.3,1358.1,Vermicompost
watermelon,66.9,53.2,83.5,6.58,Urea,41.5,269.75,Poultry Manure
orange,35.5,63.9,31.6,7.73,Urea,87.8,570.7,Green Manure
cotton,32.5,46.6,36.5,6.52,Urea,104.9,681.85,Farmyard Manure (FYM)
pigeonpeas,51.9,26.1,47.3,6.02,DAP,77.2,2084.4,Poultry Manure
chickpea,9.1,23.8,20.9,5.76,Urea,158.2,1028.3,Poultry Manure
orange,106.7,49.0,67.9,6.08,DAP,20.2,545.4,Farmyard Manure (FYM)
lentil,34.5,27.0,67.6,6.37,Urea,93.2,605.8,Vermicompost
lentil,39.2,44.4,72.6,5.98,Urea,71.7,466.05,Neem Cake
banana,67.3,70.6,38.4,6.02,MOP,46.9,797.3,Poultry Manure
lentil,45.4,19.4,62.9,7.1,DAP,89.5,2416.5,Green Manure
blackgram,58.5,57.3,85.7,6.8,Urea,36.9,239.85,Green Manure
apple,69.6,23.4,55.7,5.56,DAP,59.7,1611.9,Vermicompost
coffee,29.2,14.4,60.9,5.97,Urea,106.9,694.85,Poultry Manure
pomegranate,96.5,46.5,41.6,6.81,MOP,47.6,809.2,Poultry Manure
cotton,74.9,84.3,11.3,7.15,MOP,72.7,1235.9,Neem Cake
apple,22.3,31.6,58.3,6.75,Urea,103.9,675.35,Poultry Manure
cotton,45.1,40.9,55.2,5.34,Urea,71.2,462.8,Compost + Biofertilizer
coffee,37.1,59.3,63.3,7.55,Urea,52.4,340.6,Neem Cake
kidneybeans,65.9,45.5,24.8,8.31,MOP,73.3,1246.1,Farmyard Manure (FYM)
chickpea,69.4,60.4,79.0,6.26,Urea,31.8,206.7,Neem Cake
pomegranate,21.7,64.5,21.1,7.45,Urea,107.3,697.45,Poultry Manure
cotton,65.4,39.4,42.3,5.48,DAP,74.7,2016.9,Poultry Manure
muskmelon,108.0,39.7,75.2,7.09,DAP,34.5,931.5,Poultry Manure
coconut,52.8,83.5,40.9,6.8,Urea,61.1,397.15,Neem Cake
mungbean,32.7,28.2,60.1,6.35,Urea,88.1,572.65,Vermicompost
coconut,75.1,0.0,75.3,6.59,DAP,79.3,2141.1,Compost + Biofertilizer
mango,104.3,62.6,51.0,6.17,MOP,26.2,445.4,Neem Cake
grapes,30.8,27.3,33.4,6.76,Urea,104.1,676.65,Neem Cake
pigeonpeas,56.0,14.8,28.6,7.04,DAP,115.1,3107.7,Neem Cake
blackgram,78.3,45.5,42.4,5.54,MOP,41.4,703.8,Farmyard Manure (FYM)
coffee,73.0,37.7,38.5,6.95,DAP,66.0,1782.0,Neem Cake
mothbeans,22.5,51.5,67.8,6.14,Urea,85.4,555.1,Poultry Manure
watermelon,22.5,59.4,60.5,5.98,Urea,68.0,442.0,Green Manure
jute,46.5,33.3,55.4,6.44,Urea,70.3,456.95,Neem Cake
blackgram,106.3,54.2,65.7,6.6,DAP,26.7,720.9,Vermicompost
coconut,61.5,91.6,64.2,8.59,Urea,43.4,282.1,Neem Cake
pigeonpeas,128.2,72.2,72.0,6.13,NPK 10-26-26,15.2,349.6,Compost + Biofertilizer
muskmelon,72.6,38.3,26.8,7.13,MOP,76.0,1292.0,Neem Cake
mothbeans,19.5,18.4,74.5,6.37,Urea,109.9,714.35,Farmyard Manure (FYM)
chickpea,65.3,40.4,26.7,6.94,MOP,79.4,1349.8,Poultry Manure
apple,31.3,29.5,56.1,7.12,Urea,96.3,625.95,Compost + Biofertilizer
blackgram,82.2,6.3,79.5,6.33,DAP,76.7,2070.9,Vermicompost
jute,82.4,46.6,89.7,6.9,DAP,29.7,801.9,Farmyard Manure (FYM)
coconut,15.7,22.6,33.9,6.15,Urea,131.2,852.8,Green Manure
mango,73.4,66.0,42.3,6.85,MOP,46.5,790.5,Farmyard Manure (FYM)
mango,59.5,14.9,32.3,4.81,DAP,104.9,2832.3,Farmyard Manure (FYM)
mango,62.5,45.9,36.0,5.98,MOP,74.1,1259.7,Green Manure
mothbeans,67.3,26.0,16.4,6.24,MOP,102.9,1749.3,Poultry Manure
kidneybeans,28.6,42.2,62.5,6.43,Urea,80.1,520.65,Farmyard Manure (FYM)
orange,91.6,23.0,43.9,7.83,DAP,73.3,1979.1,Compost + Biofertilizer
mango,48.3,57.3,64.4,6.24,Urea,59.0,383.5,Compost + Biofertilizer
kidneybeans,95.0,53.6,59.6,6.08,DAP,15.0,405.0,Neem Cake
pigeonpeas,62.7,56.8,40.1,7.7,MOP,56.4,958.8,Compost + Biofertilizer
pigeonpeas,43.3,74.1,79.0,7.16,Urea,50.6,328.9,Green Manure
mothbeans,22.1,10.6,54.6,4.8,Urea,125.1,813.15,Poultry Manure
chickpea,36.3,32.1,49.1,5.84,Urea,95.6,621.4,Poultry Manure
pigeonpeas,40.4,65.7,58.0,6.21,Urea,56.7,368.55,Vermicompost
pigeonpeas,98.1,25.3,23.2,6.46,MOP,80.6,1370.2,Compost + Biofertilizer
coffee,96.7,74.0,32.6,6.71,MOP,42.4,720.8,Compost + Biofertilizer
papaya,87.1,27.9,64.9,5.85,DAP,48.0,1296.0,Farmyard Manure (FYM)
pomegranate,65.9,32.3,0.0,6.47,MOP,115.4,1961.8,Green Manure
papaya,47.2,51.6,43.4,5.58,Urea,83.7,544.05,Vermicompost
rice,62.0,11.4,61.6,5.39,DAP,83.5,2254.5,Poultry Manure
grapes,42.7,51.8,55.3,6.68,Urea,63.6,413.4,Farmyard Manure (FYM)
lentil,39.2,52.2,39.5,5.4,Urea,81.8,531.7,Green Manure
coffee,87.7,62.1,44.6,6.92,MOP,39.1,664.7,Farmyard Manure (FYM)
coffee,66.1,28.6,16.8,5.63,MOP,102.6,1744.2,Compost + Biofertilizer
pigeonpeas,70.3,35.0,38.8,5.35,DAP,70.1,1892.7,Vermicompost
cotton,49.6,61.2,50.4,6.99,Urea,52.9,343.85,Neem Cake
orange,85.3,64.6,17.8,6.69,MOP,52.5,892.5,Green Manure
mango,51.5,53.7,50.0,6.8,Urea,62.6,406.9,Green Manure
pigeonpeas,62.4,53.1,51.8,7.54,Urea,52.3,339.95,Vermicompost
pigeonpeas,47.6,61.6,49.9,6.18,Urea,56.5,367.25,Green Manure
rice,74.6,70.2,44.6,6.4,MOP,44.1,749.7,Green Manure
mango,81.6,46.4,94.2,6.84,DAP,41.1,1109.7,Compost + Biofertilizer
pomegranate,81.3,43.0,27.8,6.34,MOP,61.1,1038.7,Compost + Biofertilizer
pomegranate,66.2,70.0,50.0,6.11,Urea,46.3,300.95,Compost + Biofertilizer
coffee,23.0,20.8,62.9,6.59,Urea,98.2,638.3,Compost + Biofertilizer
lentil,38.8,59.1,54.0,6.93,Urea,58.8,382.2,Vermicompost
mango,67.9,25.3,25.7,6.28,DAP,99.7,2691.9,Compost + Biofertilizer
mungbean,68.5,16.3,68.9,5.66,DAP,77.4,2089.8,Farmyard Manure (FYM)
papaya,46.1,65.5,17.9,6.49,MOP,85.3,1450.1,Neem Cake
rice,42.0,0.0,105.3,6.65,DAP,112.1,3026.7,Poultry Manure
orange,70.4,23.5,52.9,6.45,DAP,65.6,1771.2,Neem Cake
lentil,97.0,60.6,27.8,5.92,MOP,44.4,754.8,Vermicompost
watermelon,61.9,41.5,27.4,6.49,MOP,75.0,1275.0,Neem Cake
cotton,71.7,41.5,59.8,6.51,DAP,38.0,1026.0,Neem Cake
mungbean,32.2,46.8,30.1,7.55,Urea,100.7,654.55,Neem Cake
pomegranate,36.1,38.8,45.1,6.31,Urea,91.5,594.75,Farmyard Manure (FYM)
kidneybeans,52.0,79.8,76.2,6.42,Urea,49.3,320.45,Farmyard Manure (FYM)
pigeonpeas,47.8,54.1,42.5,5.32,Urea,71.8,466.7,Neem Cake
grapes,77.6,0.0,53.8,7.47,DAP,79.4,2143.8,Compost + Biofertilizer
muskmelon,59.1,11.2,23.4,6.47,DAP,115.3,3113.1,Neem Cake
blackgram,63.9,33.2,57.0,4.95,DAP,62.9,1698.3,Vermicompost
orange,65.0,24.4,73.7,5.55,DAP,65.4,1765.8,Poultry Manure
pigeonpeas,93.3,26.1,57.3,4.65,DAP,49.2,1328.4,Green Manure
coconut,45.4,46.2,55.8,7.37,Urea,60.4,392.6,Compost + Biofertilizer
pomegranate,19.7,69.7,15.5,5.4,Urea,108.9,707.85,Farmyard Manure (FYM)
maize,75.5,57.8,97.6,6.51,NPK 10-26-26,27.0,621.0,Poultry Manure
pomegranate,33.0,47.4,32.8,6.53,Urea,112.6,731.9,Neem Cake
mungbean,79.5,53.9,58.7,6.07,DAP,18.8,507.6,Green Manure
pigeonpeas,76.5,13.2,21.4,5.55,DAP,102.4,2764.8,Compost + Biofertilizer
pomegranate,77.3,1.8,24.1,6.18,DAP,112.9,3048.3,Green Manure
coconut,86.9,77.1,66.5,5.91,NPK 19-19-19,15.6,374.4,Green Manure
blackgram,80.2,4.3,87.0,7.24,DAP,74.2,2003.4,Farmyard Manure (FYM)
watermelon,29.6,55.0,19.9,7.3,Urea,112.7,732.55,Compost + Biofertilizer
grapes,62.8,69.2,115.3,6.86,Urea,40.0,260.0,Farmyard Manure (FYM)
grapes,103.3,42.6,64.2,5.56,DAP,29.2,788.4,Farmyard Manure (FYM)
papaya,66.6,35.2,37.0,5.04,DAP,69.1,1865.7,Poultry Manure
muskmelon,86.2,44.1,58.8,7.27,DAP,29.4,793.8,Farmyard Manure (FYM)
apple,40.3,57.6,33.4,6.39,Urea,71.0,461.5,Farmyard Manure (FYM)
mungbean,64.9,41.3,29.0,6.33,MOP,87.1,1480.7,Green Manure
lentil,59.3,51.7,36.1,5.97,MOP,65.2,1108.4,Green Manure
maize,66.7,55.3,76.3,7.18,Urea,38.7,251.55,Poultry Manure
banana,62.0,44.5,20.7,7.03,MOP,89.9,1528.3,Poultry Manure
coconut,90.6,8.8,70.3,6.28,DAP,69.2,1868.4,Green Manure
coffee,96.8,49.7,60.2,6.76,DAP,26.1,704.7,Neem Cake
grapes,49.7,35.5,78.0,6.9,Urea,68.6,445.9,Poultry Manure
maize,38.7,41.1,55.9,6.09,Urea,73.2,475.8,Green Manure
pomegranate,81.7,33.1,30.4,7.74,MOP,70.3,1195.1,Compost + Biofertilizer
pigeonpeas,42.1,30.5,12.8,6.6,MOP,121.5,2065.5,Compost + Biofertilizer
papaya,62.8,54.4,39.6,6.89,MOP,53.2,904.4,Compost + Biofertilizer
pomegranate,10.7,67.9,70.5,6.11,Urea,71.4,464.1,Green Manure
blackgram,48.8,88.5,65.6,7.25,Urea,45.5,295.75,Green Manure
pigeonpeas,21.3,8.7,21.6,5.57,Urea,151.4,984.1,Green Manure
banana,102.7,0.2,30.8,5.46,DAP,104.7,2826.9,Vermicompost
rice,93.7,51.6,55.6,7.44,DAP,23.6,637.2,Poultry Manure
lentil,14.8,18.6,35.8,6.91,Urea,133.6,868.4,Poultry Manure
blackgram,133.8,11.6,11.6,6.9,MOP,100.0,1700.0,Green Manure
mango,85.1,56.5,34.7,4.44,MOP,44.2,751.4,Green Manure
muskmelon,37.8,45.7,30.9,6.66,Urea,96.5,627.25,Poultry Manure
grapes,34.0,33.5,60.6,5.02,Urea,89.8,583.7,Compost + Biofertilizer
papaya,37.4,55.1,55.6,6.87,Urea,68.3,443.95,Neem Cake
banana,14.0,57.0,57.8,7.53,Urea,92.8,603.2,Compost + Biofertilizer
banana,56.3,37.2,48.5,6.01,Urea,71.5,464.75,Farmyard Manure (FYM)
chickpea,33.7,34.5,81.3,6.19,Urea,77.0,500.5,Green Manure
pigeonpeas,80.0,35.2,77.4,7.41,DAP,40.7,1098.9,Compost + Biofertilizer
rice,63.3,78.1,68.9,8.04,Urea,27.3,177.45,Compost + Biofertilizer
mungbean,80.8,66.9,70.3,5.43,NPK 10-26-26,23.1,531.3,Neem Cake
cotton,28.3,31.9,95.4,5.86,Urea,95.9,623.35,Vermicompost
maize,87.3,40.3,40.4,5.72,DAP,52.7,1422.9,Poultry Manure
banana,73.2,35.1,53.0,6.84,DAP,56.4,1522.8,Farmyard Manure (FYM)
chickpea,18.4,54.3,34.5,7.59,Urea,102.8,668.2,Compost + Biofertilizer
rice,37.6,53.9,45.8,6.94,Urea,81.0,526.5,Green Manure
mango,114.5,65.2,58.7,6.19,NPK 19-19-19,22.6,542.4,Neem Cake
mothbeans,58.9,0.0,69.2,6.66,DAP,95.0,2565.0,Vermicompost
maize,21.8,35.8,12.3,6.73,Urea,145.3,944.45,Poultry Manure
jute,37.6,47.3,32.7,6.15,Urea,103.9,675.35,Poultry Manure
chickpea,63.3,58.7,43.2,5.87,MOP,52.5,892.5,Compost + Biofertilizer
coffee,48.5,0.0,65.9,6.45,DAP,99.8,2694.6,Farmyard Manure (FYM)
pomegranate,64.5,61.0,45.9,5.85,Urea,45.9,298.35,Vermicompost
coffee,9.2,68.3,40.5,6.32,Urea,103.7,674.05,Neem Cake
pomegranate,68.1,2.6,11.2,7.9,DAP,124.4,3358.8,Neem Cake
chickpea,87.1,35.7,50.2,7.02,DAP,46.2,1247.4,Neem Cake
coffee,72.0,11.8,28.7,7.38,DAP,107.5,2902.5,Neem Cake
pomegranate,104.4,51.9,50.6,5.98,MOP,31.2,530.4,Vermicompost
jute,110.1,23.7,47.2,7.21,DAP,56.5,1525.5,Farmyard Manure (FYM)
cotton,0.0,74.4,10.1,5.94,Urea,127.4,828.1,Neem Cake
mango,75.5,21.1,34.8,5.59,DAP,78.6,2122.2,Neem Cake
apple,116.3,60.9,44.2,5.69,MOP,42.4,720.8,Green Manure
kidneybeans,60.5,25.2,40.3,6.46,DAP,84.0,2268.0,Compost + Biofertilizer
apple,28.3,25.4,37.5,7.11,Urea,110.7,719.55,Compost + Biofertilizer
cotton,85.1,39.8,38.6,6.6,MOP,64.0,1088.0,Vermicompost
jute,70.1,51.8,29.3,7.9,MOP,58.5,994.5,Vermicompost
muskmelon,56.1,79.1,63.9,6.15,Urea,46.2,300.3,Vermicompost
coffee,89.5,44.8,25.8,7.26,MOP,50.1,851.7,Poultry Manure
chickpea,95.5,47.8,26.6,5.08,MOP,64.5,1096.5,Vermicompost
muskmelon,71.1,35.2,19.7,6.08,MOP,88.1,1497.7,Neem Cake
grapes,70.1,51.5,29.2,6.06,MOP,64.0,1088.0,Vermicompost
cotton,29.5,65.4,56.8,7.53,Urea,65.8,427.7,Green Manure
pomegranate,103.9,53.6,30.1,5.85,MOP,57.5,977.5,Green Manure
jute,69.1,95.8,110.4,6.38,Urea,32.1,208.65,Neem Cake
lentil,73.5,53.9,43.1,6.08,MOP,50.3,855.1,Poultry Manure
chickpea,71.6,43.1,68.7,6.84,DAP,39.9,1077.3,Neem Cake
blackgram,77.7,76.0,60.9,5.04,NPK 19-19-19,28.2,676.8,Neem Cake
pomegranate,54.5,23.6,45.4,6.14,DAP,85.3,2303.1,Green Manure
muskmelon,26.5,49.4,14.4,6.19,Urea,122.0,793.0,Vermicompost
banana,65.4,85.7,5.0,6.44,MOP,78.9,1341.3,Compost + Biofertilizer
kidneybeans,32.6,75.5,28.0,6.23,Urea,87.0,565.5,Poultry Manure
chickpea,100.2,16.5,56.9,5.4,DAP,68.5,1849.5,Farmyard Manure (FYM)
chickpea,96.1,64.6,38.7,6.88,MOP,36.4,618.8,Compost + Biofertilizer
grapes,79.9,56.7,43.7,6.12,MOP,38.6,656.2,Compost + Biofertilizer
papaya,54.9,52.4,59.7,6.04,Urea,51.4,334.1,Neem Cake
banana,52.5,47.5,30.8,6.31,MOP,83.1,1412.7,Green Manure
pomegranate,94.0,53.4,88.6,6.55,DAP,27.2,734.4,Compost + Biofertilizer
apple,74.9,31.4,32.3,6.29,DAP,79.3,2141.1,Vermicompost
coconut,77.3,49.5,43.8,7.03,MOP,47.2,802.4,Compost + Biofertilizer
orange,71.6,36.5,32.1,5.95,MOP,72.9,1239.3,Poultry Manure
grapes,41.0,27.1,46.9,6.33,Urea,96.9,629.85,Farmyard Manure (FYM)
mungbean,119.7,25.4,56.9,6.65,DAP,56.7,1530.9,Green Manure
lentil,64.1,40.7,80.5,7.42,DAP,55.9,1509.3,Compost + Biofertilizer
chickpea,58.8,70.3,31.2,6.47,MOP,55.7,946.9,Poultry Manure
grapes,0.0,92.5,18.6,6.9,Urea,123.5,802.75,Green Manure
watermelon,57.5,54.4,61.0,6.33,Urea,45.5,295.75,Green Manure
maize,73.0,40.3,66.3,6.29,DAP,46.1,1244.7,Green Manure
cotton,60.2,38.4,30.8,6.25,MOP,90.8,1543.6,Neem Cake
rice,78.5,97.4,56.1,6.02,NPK 10-26-26,20.4,469.2,Green Manure
muskmelon,71.4,47.5,15.1,6.65,MOP,77.0,1309.0,Neem Cake
watermelon,77.0,52.0,69.2,7.02,DAP,28.6,772.2,Neem Cake
pomegranate,54.9,51.1,44.4,6.21,Urea,67.0,435.5,Vermicompost
apple,45.7,50.7,31.9,6.09,Urea,81.0,526.5,Farmyard Manure (FYM)
blackgram,90.2,68.3,49.4,6.85,MOP,22.5,382.5,Vermicompost
grapes,62.2,53.0,47.2,6.37,Urea,47.2,306.8,Green Manure
pigeonpeas,46.7,85.6,62.1,6.29,Urea,45.1,293.15,Poultry Manure
banana,87.3,74.3,77.0,6.48,NPK 10-26-26,17.2,395.6,Poultry Manure
apple,74.9,69.5,82.2,6.92,Urea,26.6,172.9,Green Manure
grapes,49.6,49.2,24.5,7.57,MOP,79.9,1358.3,Poultry Manure
coconut,62.1,68.9,72.6,5.93,Urea,34.8,226.2,Poultry Manure
watermelon,114.5,57.0,34.6,5.52,MOP,49.0,833.0,Green Manure
banana,89.2,39.8,34.8,6.41,MOP,56.3,957.1,Vermicompost
jute,56.6,28.5,35.3,6.84,DAP,94.6,2554.2,Poultry Manure
cotton,4.8,71.8,34.0,5.92,Urea,109.5,711.75,Farmyard Manure (FYM)
pomegranate,80.5,55.4,1.3,6.46,MOP,78.5,1334.5,Farmyard Manure (FYM)
coffee,65.9,50.0,49.5,6.87,Urea,49.3,320.45,Compost + Biofertilizer
mango,76.0,67.9,44.2,5.45,MOP,31.1,528.7,Poultry Manure
lentil,54.0,15.6,35.4,7.22,DAP,105.6,2851.2,Farmyard Manure (FYM)
coconut,62.5,74.9,79.1,6.77,Urea,36.6,237.9,Compost + Biofertilizer
kidneybeans,27.0,31.8,43.8,4.96,Urea,110.6,718.9,Neem Cake
mothbeans,50.4,46.7,43.1,7.37,Urea,76.3,495.95,Compost + Biofertilizer
coffee,58.8,46.4,43.2,5.54,Urea,73.6,478.4,Vermicompost
jute,88.6,31.2,33.4,6.08,DAP,64.3,1736.1,Neem Cake
mango,114.1,36.8,27.8,6.85,MOP,80.3,1365.1,Compost + Biofertilizer
jute,68.8,95.3,52.4,5.88,Urea,37.3,242.45,Farmyard Manure (FYM)
mungbean,33.3,80.2,49.8,7.52,Urea,71.4,464.1,Poultry Manure
mothbeans,46.8,22.7,32.0,5.73,DAP,112.8,3045.6,Compost + Biofertilizer
grapes,67.7,87.9,32.5,6.97,MOP,54.6,928.2,Poultry Manure
maize,39.0,49.6,0.0,6.66,MOP,114.8,1951.6,Farmyard Manure (FYM)
blackgram,46.1,40.9,0.0,6.39,MOP,115.4,1961.8,Farmyard Manure (FYM)
maize,49.1,37.4,48.8,6.54,Urea,81.1,527.15,Poultry Manure
jute,76.0,53.3,80.0,6.57,DAP,17.8,480.6,Neem Cake
maize,9.0,38.2,11.6,6.89,Urea,143.7,934.05,Poultry Manure
coconut,16.4,77.3,55.4,7.04,Urea,74.7,485.55,Green Manure
rice,104.8,61.2,64.2,6.76,NPK 19-19-19,18.9,453.6,Poultry Manure
cotton,53.1,73.3,21.6,7.25,MOP,90.0,1530.0,Farmyard Manure (FYM)
maize,43.5,25.0,70.5,5.62,Urea,78.4,509.6,Compost + Biofertilizer
pomegranate,46.6,30.4,59.3,5.79,Urea,77.7,505.05,Poultry Manure
rice,90.7,3.3,87.3,7.53,DAP,68.2,1841.4,Farmyard Manure (FYM)
kidneybeans,46.0,16.0,28.5,5.29,DAP,124.3,3356.1,Neem Cake
pigeonpeas,72.8,27.8,61.7,6.94,DAP,65.3,1763.1,Green Manure
papaya,67.7,34.1,47.9,7.74,DAP,62.4,1684.8,Compost + Biofertilizer
cotton,82.5,24.6,40.1,6.1,DAP,62.7,1692.9,Green Manure
apple,36.4,53.2,74.5,6.36,Urea,70.5,458.25,Poultry Manure
orange,48.5,12.9,56.4,6.59,DAP,100.3,2708.1,Compost + Biofertilizer
mango,42.7,12.0,17.2,6.76,DAP,152.0,4104.0,Poultry Manure
kidneybeans,78.7,49.2,45.4,6.59,MOP,36.5,620.5,Poultry Manure
rice,35.9,32.8,55.7,5.1,Urea,94.8,616.2,Neem Cake
pomegranate,47.4,62.1,60.9,5.81,Urea,49.4,321.1,Vermicompost
jute,79.7,46.7,4.1,6.19,MOP,83.4,1417.8,Vermicompost
orange,29.1,86.6,29.5,6.08,Urea,90.1,585.65,Farmyard Manure (FYM)
cotton,70.8,33.7,29.5,6.2,MOP,77.0,1309.0,Poultry Manure
grapes,55.5,67.0,72.7,6.72,Urea,43.4,282.1,Green Manure
pomegranate,63.5,15.2,40.0,6.66,DAP,95.7,2583.9,Green Manure
cotton,64.3,38.1,65.8,6.93,DAP,49.3,1331.1,Green Manure
coconut,97.7,56.4,50.6,5.1,MOP,43.8,744.6,Farmyard Manure (FYM)
papaya,17.8,65.6,42.6,6.74,Urea,96.9,629.85,Neem Cake
apple,68.5,31.8,18.9,6.24,MOP,107.2,1822.4,Neem Cake
pomegranate,14.8,51.2,46.9,6.06,Urea,93.4,607.1,Neem Cake
maize,44.7,63.3,46.1,6.9,Urea,72.3,469.95,Neem Cake
maize,64.6,62.2,70.4,7.01,Urea,39.0,253.5,Vermicompost
jute,46.5,38.0,14.6,4.82,MOP,120.7,2051.9,Green Manure
apple,28.8,49.9,80.0,6.71,Urea,74.0,481.0,Compost + Biofertilizer
